Baclofen 2016-08-01~2016-09-01.txt_4204 case: 2
Power words: ['live', 'without']
original:  generic drugs without prescription  order lioresal generic over the counter  fast order delivery  
Baclofen 2016-08-01~2016-09-01.txt_4204 case: 2
Power words: ['live', 'without']
original:  generic drugs without prescription  order lioresal generic over the counter  fast order delivery  
Baclofen 2018-03-01~2018-04-01.txt_9543 case: 2
Power words: ['live', 'without']
original:  pharmacy without prescription  lioresal nombre comercial  airmail deliverynu0u0u0u0u0au0f u0u0u0
Baclofen 2018-03-01~2018-04-01.txt_9543 case: 2
Power words: ['live', 'without']
original:  pharmacy without prescription  lioresal nombre comercial  airmail deliverynu0u0u0u0u0au0f u0u0u0
Baclofen 2018-07-01~2018-08-01.txt_10477 case: 2
Power words: ['live', 'without']
original:  buy online without prescription u lioresal lu00eku00erna online u free delivery 
Baclofen 2018-07-01~2018-08-01.txt_10477 case: 2
Power words: ['live', 'without']
original:  buy online without prescription u lioresal lu00eku00erna online u free delivery 
bupropion 2016-01-01~2016-02-01.txt_12903 case: 2
Power words: ['live', 'without']
original:  bupropion buy without rx  where to purchase zyban free delivery  medical blog health
bupropion 2016-01-01~2016-02-01.txt_12903 case: 2
Power words: ['live', 'without']
original:  bupropion buy without rx  where to purchase zyban free delivery  medical blog health
bupropion 2016-01-01~2016-02-01.txt_12958 case: 2
Power words: ['sleep', 'die']
original:  no different than chantixzyban they'll sleep at night rationalizing they'd die anyway like everyone will
bupropion 2016-01-01~2016-02-01.txt_12958 case: 2
Power words: ['sleep', 'die']
original:  no different than chantixzyban they'll sleep at night rationalizing they'd die anyway like everyone will
bupropion 2016-02-01~2016-03-01.txt_13169 case: 2
Power words: ['end', 'without']
original:  don't go off wellbutrin quickly or without doc's help; it's not a friendly withdrawal
bupropion 2016-02-01~2016-03-01.txt_13169 case: 2
Power words: ['end', 'without']
original:  don't go off wellbutrin quickly or without doc's help; it's not a friendly withdrawal
bupropion 2016-02-01~2016-03-01.txt_13178 case: 2
Power words: ['die', 'plan']
original:  weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu  for more click u
bupropion 2016-02-01~2016-03-01.txt_13178 case: 2
Power words: ['die', 'plan']
original:  weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu  for more click u
bupropion 2016-02-01~2016-03-01.txt_13179 case: 2
Power words: ['die', 'plan']
original:  weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu 
bupropion 2016-02-01~2016-03-01.txt_13179 case: 2
Power words: ['die', 'plan']
original:  weightlossfast wellbutrin weight loss antidepressants best diet meals plan us  unlikeu 
bupropion 2016-02-01~2016-03-01.txt_13209 case: 2
Power words: ['kill', 'end']
original:  back in the day all of my ed friends wanted to be on wellbutrin bc it kills appetite then they realized it jacked up anxiety
bupropion 2016-02-01~2016-03-01.txt_13209 case: 2
Power words: ['kill', 'end']
original:  back in the day all of my ed friends wanted to be on wellbutrin bc it kills appetite then they realized it jacked up anxiety
bupropion 2016-02-01~2016-03-01.txt_13211 case: 2
Power words: ['die', 'plan']
original:  best diet meal plans to lose weight wellbutrin weight loss forum us  unlike many dietu  for more click u
bupropion 2016-02-01~2016-03-01.txt_13211 case: 2
Power words: ['die', 'plan']
