Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" it's my second time trying zyban to quit smoking intense suicidal thoughts have arose both times i would never recommend it",21,11.05,17.04,89.63,25.77,21.00,23.81,85.71,38.10,19.05,9.52,9.52,0.00,0.00,0.00,0.00,9.52,0.00,4.76,14.29,4.76,0.00,4.76,23.81,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,19.05,4.76,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,4.76,9.52,0.00,9.52,0.00,0.00,0.00,0.00,9.52,0.00,19.05,0.00,4.76,14.29,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00
" needdiet wellbutrin and zoloft together weight loss best diet plan for fatty liveru  for more click u",17,93.26,88.03,1.00,25.77,17.00,17.65,88.24,23.53,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,0.00,0.00,11.76,11.76,0.00,0.00,5.88,11.76,5.88,5.88,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.88,5.88,29.41,11.76,17.65,0.00,17.65,23.53,5.88,17.65,5.88,5.88,5.88,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" needdiet wellbutrin and zoloft together weight loss best diet plan for fatty liveru ",13,93.26,77.92,1.40,25.77,13.00,23.08,84.62,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,38.46,15.38,23.08,0.00,23.08,30.77,7.69,23.08,7.69,7.69,7.69,0.00,0.00,7.69,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" what the fuck why cant i type without a million typos did wellbutrin destroy my fine motor skills or something",20,25.89,1.00,74.76,1.00,20.00,25.00,80.00,55.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,5.00,5.00,5.00,5.00,10.00,10.00,5.00,0.00,10.00,5.00,0.00,15.00,5.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,5.00,0.00,10.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,10.00,0.00,5.00,5.00,0.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet plan for fatty liver disease wellbutrin and zoloft combination weight loss usu  for more click u",18,93.26,71.09,1.00,25.77,18.00,16.67,83.33,22.22,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,11.11,0.00,0.00,5.56,0.00,0.00,11.11,11.11,0.00,0.00,5.56,11.11,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,5.56,5.56,33.33,11.11,22.22,0.00,16.67,16.67,0.00,16.67,5.56,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet plan for fatty liver disease wellbutrin and zoloft combination weight loss usu ",14,93.26,50.00,1.00,25.77,14.00,21.43,78.57,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,7.14,7.14,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,42.86,14.29,28.57,0.00,21.43,21.43,0.00,21.43,7.14,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" needdiet wellbutrin and zoloft combination weight loss best diet plan for fatty liveru  for more click u",17,93.26,72.17,1.00,25.77,17.00,17.65,82.35,23.53,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,0.00,0.00,11.76,11.76,0.00,0.00,5.88,11.76,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.88,5.88,29.41,11.76,17.65,0.00,17.65,17.65,0.00,17.65,5.88,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" needdiet wellbutrin and zoloft combination weight loss best diet plan for fatty liveru ",13,93.26,50.00,1.00,25.77,13.00,23.08,76.92,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,38.46,15.38,23.08,0.00,23.08,23.08,0.00,23.08,7.69,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" wellbutrin change of plans consider sleeping forevernme i wanna get off this hell ride",14,83.81,7.67,89.63,1.00,14.00,28.57,85.71,35.71,14.29,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,14.29,7.14,0.00,0.00,0.00,21.43,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,21.43,7.14,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,14.29,0.00,7.14,0.00,7.14,0.00,0.00,14.29,14.29,21.43,14.29,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i survived as you can see where others die from about mg of wellbutrin 000mg couldn't kill me i doubt anything can suicide",23,9.72,9.62,27.39,1.00,23.00,21.74,86.96,60.87,26.09,17.39,13.04,0.00,4.35,0.00,0.00,8.70,0.00,17.39,13.04,8.70,4.35,4.35,13.04,4.35,4.35,4.35,0.00,0.00,8.70,0.00,8.70,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,17.39,0.00,0.00,4.35,8.70,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,4.35,0.00,0.00,4.35,0.00,17.39,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00
